Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0x7775114c93dfffb8431d723f4cdf675016318e25,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x1809608cb26e7037069b36f4b86f6a1e3c6e2f1f,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xd8faec528b9fbf4fe3226d6beb8b14a4f9bad655,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa77f153dc72d1f473a8b9d9ec8ec9ccad42f467d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xeb37f5af0eb961d7e935cc66c6651e4e420dd7a6,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xd2ac0d25aeec27bef10922cb15a78cf77a894eee,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x701061cb58cb77683ae8c5edb96fc1516b2518de,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe58ca51f1722e06d9aa229099beed0fb1acc135d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x6c75239adb15a52a384b52b8b452a31074feb6e1,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x97fcf1b0f0ee4fb272ad47b12f166a393e0353f3,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xac4c825ee8b9ce947e80ac9fccbfede2e581beba,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8abff7b696051da985fa000ac315448dc0a0cfcd,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x388ee1d5cd98ff2eae48b70d4b444dfb616afb03,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xff50fa05aeb524268201a0bb0319e6686ee573bc,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4292aa3e417d62b7472505e0543e10878302223c,0.0,,0.0,,0.0,,0.0,4.158816412899999,1440.0030451895
0x18088f68b2d3029c60b8a014abb979149e88d9b5,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8f384c5406abdce4139fe6c7873703b953c761f9,0.0,,0.0,,0.0,0x8bd31c909b793c48b764e93a7f7a0b4ad54cb0e357a474c8794b67ed9e086bb9,65.5797058449,11.3238615999,0.0
0x6d8e5fe1943fedd16e21b43b75cc80993f93b8b1,0.0,,0.0,,0.0,,0.0,0.0,0.1458071617
0x3ce53d668ec75bd51d0fb8d1e9eb34c9787a689a,0.0,,0.0,,0.0,,1.9199,0.0,83.7061986488
0x5ddbb77673da642cb476f0c2f97e49f3c8bc29e3,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x12fbb308875ad122dfd049f8ecaf62b0269e6fc0,0.0,,0.0,,0.0,,0.0,0.0,20.0
